Country code,Series name,2000,2005,avg_value,median_value,std_dev
MUS,Land area below 5m (% of land area),7.070228,34706526643.07122,17353263325.070724,17353263325.070724,14168880167.085932
MWI,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
MYS,Land area below 5m (% of land area),2.99209,34706526643.07122,17353263323.031654,17353263323.031654,14168880168.750826
MYT,Land area below 5m (% of land area),21.56333,34706526643.07122,17353263332.317276,17353263332.317276,14168880161.169147
NAM,Land area below 5m (% of land area),0.2863445,34706526643.07122,17353263321.678783,17353263321.678783,14168880169.85544
NCL,Land area below 5m (% of land area),8.02987,34706526643.07122,17353263325.550545,17353263325.550545,14168880166.69416
NER,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
NGA,Land area below 5m (% of land area),0.5417737,34706526643.07122,17353263321.806496,17353263321.806496,14168880169.751162
NIC,Land area below 5m (% of land area),3.569984,34706526643.07122,17353263323.320602,17353263323.320602,14168880168.514902
NIU,Land area below 5m (% of land area),10.43766,34706526643.07122,17353263326.75444,17353263326.75444,14168880165.711184
NLD,Land area below 5m (% of land area),58.46905,34706526643.07122,17353263350.770134,17353263350.770134,14168880146.10245
NOR,Land area below 5m (% of land area),4.850657,34706526643.07122,17353263323.960938,17353263323.960938,14168880167.992067
NPL,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
NRU,Land area below 5m (% of land area),40.35884,34706526643.07122,17353263341.71503,17353263341.71503,14168880153.495913
NZL,Land area below 5m (% of land area),2.741883,34706526643.07122,17353263322.90655,17353263322.90655,14168880168.852972
OMN,Land area below 5m (% of land area),1.082381,34706526643.07122,17353263322.0768,17353263322.0768,14168880169.530458
PAK,Land area below 5m (% of land area),1.420484,34706526643.07122,17353263322.245853,17353263322.245853,14168880169.392431
PAN,Land area below 5m (% of land area),3.705232,34706526643.07122,17353263323.388226,17353263323.388226,14168880168.459686
PER,Land area below 5m (% of land area),0.37851,34706526643.07122,17353263321.724865,17353263321.724865,14168880169.817816
PHL,Land area below 5m (% of land area),6.017094,34706526643.07122,17353263324.54416,17353263324.54416,14168880167.515873
PLW,Land area below 5m (% of land area),21.3706,34706526643.07122,17353263332.22091,17353263332.22091,14168880161.24783
PNG,Land area below 5m (% of land area),1.840861,34706526643.07122,17353263322.45604,17353263322.45604,14168880169.22081
POL,Land area below 5m (% of land area),1.680418,34706526643.07122,17353263322.37582,17353263322.37582,14168880169.286314
PRI,Land area below 5m (% of land area),7.731913,34706526643.07122,17353263325.401566,17353263325.401566,14168880166.8158
PRK,Land area below 5m (% of land area),2.420686,34706526643.07122,17353263322.745953,17353263322.745953,14168880168.984098
PRT,Land area below 5m (% of land area),2.305464,34706526643.07122,17353263322.688343,17353263322.688343,14168880169.031137
PRY,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
PYF,Land area below 5m (% of land area),37.59521,34706526643.07122,17353263340.333214,17353263340.333214,14168880154.624159
QAT,Land area below 5m (% of land area),13.39369,34706526643.07122,17353263328.232456,17353263328.232456,14168880164.504389
ROM,Land area below 5m (% of land area),2.905914,34706526643.07122,17353263322.988567,17353263322.988567,14168880168.786007
RUS,Land area below 5m (% of land area),1.905153,34706526643.07122,17353263322.488186,17353263322.488186,14168880169.194565
RWA,Land area below 5m (% of land area),0.0,34706526643.07122,17353263321.53561,17353263321.53561,14168880169.97234
SAS,Land area below 5m (% of land area),1.51335908264158,34706526643.07122,17353263322.29229,17353263322.29229,14168880169.354513
SAU,Land area below 5m (% of land area),0.4817074,34706526643.07122,17353263321.776463,17353263321.776463,14168880169.775682
SDN,Land area below 5m (% of land area),0.09428031,34706526643.07122,17353263321.582752,17353263321.582752,14168880169.933851
SEN,Land area below 5m (% of land area),4.458758,34706526643.07122,17353263323.764988,17353263323.764988,14168880168.15206
SGP,Land area below 5m (% of land area),8.058207,34706526643.07122,17353263325.564713,17353263325.564713,14168880166.68259
